UE_id,From_Address,Sequence num,Parket size[byte],Sent time[s],Dest IP,Packet Total
9999,02-07-00:00:00:00:01:c0:00,466,1024,98.4836,02-07-ac:10:00:02:09:00:00,13953
9999,02-07-00:00:00:00:01:c0:00,469,1024,98.4851,02-07-ac:10:00:02:09:00:00,13954
9999,02-07-00:00:00:00:01:c0:00,1087,1024,98.4874,02-07-ac:10:00:02:09:00:00,13955
9999,02-07-00:00:00:00:01:c0:00,472,1024,98.4885,02-07-ac:10:00:02:09:00:00,13956
9999,02-07-00:00:00:00:01:c0:00,475,1024,98.4899,02-07-ac:10:00:02:09:00:00,13957
9999,02-07-00:00:00:00:01:c0:00,475,1024,98.4937,02-07-ac:10:00:02:09:00:00,13958
9999,02-07-00:00:00:00:01:c0:00,1708,1024,98.4972,02-07-ac:10:00:02:09:00:00,13959
9999,02-07-00:00:00:00:01:c0:00,522,1024,98.5002,02-07-ac:10:00:02:09:00:00,13960
9999,02-07-00:00:00:00:01:c0:00,473,1024,98.502,02-07-ac:10:00:02:09:00:00,13961
9999,02-07-00:00:00:00:01:c0:00,524,1024,98.5023,02-07-ac:10:00:02:09:00:00,13962
9999,02-07-00:00:00:00:01:c0:00,515,1024,98.5028,02-07-ac:10:00:02:09:00:00,13963
9999,02-07-00:00:00:00:01:c0:00,1695,1024,98.5063,02-07-ac:10:00:02:09:00:00,13964
9999,02-07-00:00:00:00:01:c0:00,467,1024,98.5074,02-07-ac:10:00:02:09:00:00,13965
9999,02-07-00:00:00:00:01:c0:00,1085,1024,98.5092,02-07-ac:10:00:02:09:00:00,13966
9999,02-07-00:00:00:00:01:c0:00,477,1024,98.5099,02-07-ac:10:00:02:09:00:00,13967
9999,02-07-00:00:00:00:01:c0:00,479,1024,98.5132,02-07-ac:10:00:02:09:00:00,13968
9999,02-07-00:00:00:00:01:c0:00,515,1024,98.514,02-07-ac:10:00:02:09:00:00,13969
9999,02-07-00:00:00:00:01:c0:00,1082,1024,98.5149,02-07-ac:10:00:02:09:00:00,13970
9999,02-07-00:00:00:00:01:c0:00,480,1024,98.5173,02-07-ac:10:00:02:09:00:00,13971
9999,02-07-00:00:00:00:01:c0:00,486,1024,98.5235,02-07-ac:10:00:02:09:00:00,13972
9999,02-07-00:00:00:00:01:c0:00,467,1024,98.5236,02-07-ac:10:00:02:09:00:00,13973
9999,02-07-00:00:00:00:01:c0:00,470,1024,98.5251,02-07-ac:10:00:02:09:00:00,13974
9999,02-07-00:00:00:00:01:c0:00,1088,1024,98.5274,02-07-ac:10:00:02:09:00:00,13975
9999,02-07-00:00:00:00:01:c0:00,473,1024,98.5285,02-07-ac:10:00:02:09:00:00,13976
9999,02-07-00:00:00:00:01:c0:00,476,1024,98.5299,02-07-ac:10:00:02:09:00:00,13977
9999,02-07-00:00:00:00:01:c0:00,476,1024,98.5337,02-07-ac:10:00:02:09:00:00,13978
9999,02-07-00:00:00:00:01:c0:00,1709,1024,98.5372,02-07-ac:10:00:02:09:00:00,13979
9999,02-07-00:00:00:00:01:c0:00,523,1024,98.5402,02-07-ac:10:00:02:09:00:00,13980
9999,02-07-00:00:00:00:01:c0:00,474,1024,98.542,02-07-ac:10:00:02:09:00:00,13981
9999,02-07-00:00:00:00:01:c0:00,525,1024,98.5423,02-07-ac:10:00:02:09:00:00,13982
9999,02-07-00:00:00:00:01:c0:00,516,1024,98.5428,02-07-ac:10:00:02:09:00:00,13983
9999,02-07-00:00:00:00:01:c0:00,1696,1024,98.5463,02-07-ac:10:00:02:09:00:00,13984
9999,02-07-00:00:00:00:01:c0:00,468,1024,98.5474,02-07-ac:10:00:02:09:00:00,13985
9999,02-07-00:00:00:00:01:c0:00,1086,1024,98.5492,02-07-ac:10:00:02:09:00:00,13986
9999,02-07-00:00:00:00:01:c0:00,478,1024,98.5499,02-07-ac:10:00:02:09:00:00,13987
9999,02-07-00:00:00:00:01:c0:00,480,1024,98.5532,02-07-ac:10:00:02:09:00:00,13988
9999,02-07-00:00:00:00:01:c0:00,516,1024,98.554,02-07-ac:10:00:02:09:00:00,13989
9999,02-07-00:00:00:00:01:c0:00,1083,1024,98.5549,02-07-ac:10:00:02:09:00:00,13990
9999,02-07-00:00:00:00:01:c0:00,481,1024,98.5573,02-07-ac:10:00:02:09:00:00,13991
9999,02-07-00:00:00:00:01:c0:00,487,1024,98.5635,02-07-ac:10:00:02:09:00:00,13992
9999,02-07-00:00:00:00:01:c0:00,468,1024,98.5636,02-07-ac:10:00:02:09:00:00,13993
9999,02-07-00:00:00:00:01:c0:00,471,1024,98.5651,02-07-ac:10:00:02:09:00:00,13994
9999,02-07-00:00:00:00:01:c0:00,1089,1024,98.5674,02-07-ac:10:00:02:09:00:00,13995
9999,02-07-00:00:00:00:01:c0:00,474,1024,98.5685,02-07-ac:10:00:02:09:00:00,13996
9999,02-07-00:00:00:00:01:c0:00,477,1024,98.5699,02-07-ac:10:00:02:09:00:00,13997
9999,02-07-00:00:00:00:01:c0:00,477,1024,98.5737,02-07-ac:10:00:02:09:00:00,13998
9999,02-07-00:00:00:00:01:c0:00,1710,1024,98.5772,02-07-ac:10:00:02:09:00:00,13999
9999,02-07-00:00:00:00:01:c0:00,524,1024,98.5802,02-07-ac:10:00:02:09:00:00,14000
9999,02-07-00:00:00:00:01:c0:00,475,1024,98.582,02-07-ac:10:00:02:09:00:00,14001
9999,02-07-00:00:00:00:01:c0:00,526,1024,98.5823,02-07-ac:10:00:02:09:00:00,14002
9999,02-07-00:00:00:00:01:c0:00,517,1024,98.5828,02-07-ac:10:00:02:09:00:00,14003
9999,02-07-00:00:00:00:01:c0:00,1697,1024,98.5863,02-07-ac:10:00:02:09:00:00,14004
9999,02-07-00:00:00:00:01:c0:00,469,1024,98.5874,02-07-ac:10:00:02:09:00:00,14005
