Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/nodehelper.cc
[2736/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (19.233s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
20.9657 8 received one packet from 172.16.1.11
20.977 8 received one packet from 172.16.1.11
20.9964 8 received one packet from 172.16.1.11
21.0104 8 received one packet from 172.16.1.11
21.0268 8 received one packet from 172.16.1.11
21.0316 8 received one packet from 172.16.1.11
21.0387 8 received one packet from 172.16.1.11
21.0498 8 received one packet from 172.16.1.11
21.0584 8 received one packet from 172.16.1.11
21.0638 8 received one packet from 172.16.1.11
21.0679 8 received one packet from 172.16.1.11
21.0725 8 received one packet from 172.16.1.11
21.0854 8 received one packet from 172.16.1.11
21.0997 8 received one packet from 172.16.1.11
21.1341 8 received one packet from 172.16.1.11
21.1506 8 received one packet from 172.16.1.11
21.1684 8 received one packet from 172.16.1.11
21.1783 8 received one packet from 172.16.1.11
21.1892 8 received one packet from 172.16.1.11
21.1999 8 received one packet from 172.16.1.11
21.2111 8 received one packet from 172.16.1.11
21.2213 8 received one packet from 172.16.1.11
21.2326 8 received one packet from 172.16.1.11
21.2458 8 received one packet from 172.16.1.11
21.2632 8 received one packet from 172.16.1.11
21.2745 8 received one packet from 172.16.1.11
21.2836 8 received one packet from 172.16.1.11
21.2891 8 received one packet from 172.16.1.11
21.2959 8 received one packet from 172.16.1.11
21.3041 8 received one packet from 172.16.1.11
21.3121 8 received one packet from 172.16.1.11
21.3456 8 received one packet from 172.16.1.11
21.3528 8 received one packet from 172.16.1.11
21.3593 8 received one packet from 172.16.1.11
21.3663 8 received one packet from 172.16.1.11
21.3825 8 received one packet from 172.16.1.11
21.3983 8 received one packet from 172.16.1.11
21.4398 8 received one packet from 172.16.1.11
21.4502 8 received one packet from 172.16.1.11
21.4942 8 received one packet from 172.16.1.11
21.5074 6 received one packet from 172.16.1.9
21.5091 8 received one packet from 172.16.1.11
21.5447 6 received one packet from 172.16.1.9
21.5533 8 received one packet from 172.16.1.11
21.5536 6 received one packet from 172.16.1.9
21.5723 6 received one packet from 172.16.1.9
21.6106 8 received one packet from 172.16.1.11
21.6237 6 received one packet from 172.16.1.9
21.6261 8 received one packet from 172.16.1.11
21.6462 8 received one packet from 172.16.1.11
21.6545 6 received one packet from 172.16.1.9
21.6644 8 received one packet from 172.16.1.11
21.691 6 received one packet from 172.16.1.9
21.6923 8 received one packet from 172.16.1.11
21.7515 8 received one packet from 172.16.1.11
21.7518 6 received one packet from 172.16.1.9
21.7606 6 received one packet from 172.16.1.9
